-== Watchman Report ==- 

-== Congratulations, all 34 actions from your config are available!

-== Missing 182 entity(ies) from 518 found in your config:
+--------------------------------+----------+---------------------------------------------------------------+
| Entity ID                      | State    | Location                                                      |
| button.start_air_conditioner   | unknown  | 📄 .storage/lovelace:2037                                     |
| button.start_charge            | unknown  | 📄 .storage/lovelace:2038                                     |
| button.stop_charge             | unknown  | 📄 .storage/lovelace:2039                                     |
| sensor.admissible_charging_pow | unknown  | 📄 .storage/lovelace:2046                                     |
| er                             |          |                                                               |
| sensor.battery_available_energ | unknown  | 📄 .storage/lovelace:2049                                     |
| y                              |          |                                                               |
| sensor.battery_temperature     | unknown  | 📄 .storage/lovelace:2050                                     |
| binary_sensor.driver_door      | unavail  | 📄 .storage/lovelace:2054                                     |
| binary_sensor.hatch            | unavail  | 📄 .storage/lovelace:2055                                     |
| binary_sensor.lock             | unavail  | 📄 .storage/lovelace:2058                                     |
| sensor.outside_temperature     | unknown  | 📄 .storage/lovelace:2060                                     |
| binary_sensor.passenger_door   | unavail  | 📄 .storage/lovelace:2061                                     |
| binary_sensor.rear_left_door   | unavail  | 📄 .storage/lovelace:2064                                     |
| binary_sensor.rear_right_door  | unavail  | 📄 .storage/lovelace:2065                                     |
| sensor.remote_engine_start     | unavail  | 📄 .storage/lovelace:2066                                     |
| switch.arc_b4                  | unavail  | 📄 .storage/lovelace:2107                                     |
| switch.arc_b6                  | unavail  | 📄 .storage/lovelace:2110                                     |
| switch.arc_b9                  | unavail  | 📄 .storage/lovelace:2116                                     |
| switch.ac_06eb2e2_2            | unavail  | 📄 .storage/lovelace:2125                                     |
| switch.ac_0c44702_1            | unavail  | 📄 .storage/lovelace:2140                                     |
| sensor.nexa_1_rssi_numeric     | unknown  | 📄 .storage/lovelace:2152                                     |
| sensor.thgr810_thgn800_55_01_h | missing  | 📄 .storage/lovelace:2163                                     |
| umidity                        |          |                                                               |
| sensor.thgr810_thgn800_55_01_h | missing  | 📄 .storage/lovelace:2166                                     |
| umidity_status                 |          |                                                               |
| sensor.thgr810_thgn800_55_01_r | missing  | 📄 .storage/lovelace:2169                                     |
| ssi_numeric                    |          |                                                               |
| sensor.thgr810_thgn800_55_01_t | missing  | 📄 .storage/lovelace:2172                                     |
| emperature                     |          | 📄 .storage/lovelace.lovelace_highlights:44                   |
| sensor.thgr810_thgn800_55_01_b | missing  | 📄 .storage/lovelace:2175                                     |
| attery_numeric                 |          |                                                               |
| light.front_door               | missing  | 📄 .storage/lovelace.lovelace_highlights:23                   |
|                                |          | 📄 groups.yaml:45                                             |
| sensor.zigge_distance_2        | missing  | 📄 .storage/lovelace.lovelace_highlights:71                   |
| sensor.bv_time                 | missing  | 📄 alerts.yaml:51                                             |
| light.albins_shapes            | missing  | 📄 automations.yaml:113,381                                   |
| script.timed_badrum            | missing  | 📄 automations.yaml:221                                       |
| media_player.samsung_tv        | missing  | 📄 automations.yaml:237,410                                   |
|                                |          | 📄 scripts.yaml:13,15,17,19,21,26,28,30,32,34,40,47,108       |
| light.fridas_room_ceiling      | missing  | 📄 automations.yaml:382                                       |
|                                |          | 📄 groups.yaml:74                                             |
| remote.yaml                    | missing  | 📄 automations.yaml:1025                                      |
| sensor.from_hass               | missing  | 📄 customize.yaml:1                                           |
| binary_sensor.flood_sensor_4_2 | missing  | 📄 customize.yaml:3                                           |
| 0                              |          |                                                               |
| light.entre                    | missing  | 📄 customize.yaml:7                                           |
|                                |          | 📄 groups.yaml:31                                             |
| group.all_automations          | missing  | 📄 customize.yaml:9                                           |
| sensor.fibaro_system_fgms001zw | missing  | 📄 customize.yaml:12                                          |
| 5_motion_sensor_luminance_4    |          |                                                               |
| binary_sensor.fibaro_system_fg | missing  | 📄 customize.yaml:16                                          |
| bs001_universal_binary_sensor_ |          |                                                               |
| sensor                         |          |                                                               |
| binary_sensor.garage_door_sens | missing  | 📄 customize.yaml:18                                          |
| or                             |          |                                                               |
| sensor.everspring_st812_flood_ | missing  | 📄 customize.yaml:20                                          |
| detector_flood                 |          |                                                               |
| sensor.fibaro_system_fgms001zw | missing  | 📄 customize.yaml:22                                          |
| 5_motion_sensor_temperature_4  |          |                                                               |
| sensor.pelle_life360           | missing  | 📄 customize.yaml:29                                          |
| sensor.huset                   | missing  | 📄 customize.yaml:31                                          |
| sensor.roger_battery           | unknown  | 📄 customize.yaml:33                                          |
|                                |          | 📄 templates.yaml:126                                         |
| sensor.roger_next_start        | unavail  | 📄 customize.yaml:35                                          |
| sensor.roger_next_src          | missing  | 📄 customize.yaml:37                                          |
| sensor.roger_status            | missing  | 📄 customize.yaml:39                                          |
|                                |          | 📄 recorder.yaml:47                                           |
| sensor.load_15m                | missing  | 📄 customize.yaml:41                                          |
|                                |          | 📄 recorder.yaml:40                                           |
